Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Random (No Terminate),0.25,56,6.0
Random (No Terminate),0.25,137,40.0
Random (No Terminate),0.25,190,40.0
Random (No Terminate),0.25,475,125.0
Random (No Terminate),0.25,213,45.0
Random (No Terminate),0.25,125,42.0
Random (No Terminate),0.25,308,82.0
Random (No Terminate),0.25,15,3.0
Random (No Terminate),0.25,444,88.0
Random (No Terminate),0.25,177,23.0
Random (No Terminate),0.25,30,1.0
Random (No Terminate),0.25,500,82.0
Random (No Terminate),0.25,256,46.0
Random (No Terminate),0.25,416,89.0
Random (No Terminate),0.25,500,96.0
Random (No Terminate),0.25,145,40.0
Random (No Terminate),0.25,35,3.0
Random (No Terminate),0.25,316,80.0
Random (No Terminate),0.25,142,40.0
Random (No Terminate),0.25,198,40.0
Instant Terminate,0.5,6,0.0
Instant Terminate,0.5,9,0.0
Instant Terminate,0.5,38,7.0
Instant Terminate,0.5,115,8.0
Instant Terminate,0.5,22,1.0
Instant Terminate,0.5,100,2.0
Instant Terminate,0.5,241,16.0
Instant Terminate,0.5,267,18.0
Instant Terminate,0.5,96,6.0
Instant Terminate,0.5,89,4.0
Instant Terminate,0.5,0,0.0
Instant Terminate,0.5,362,52.0
Instant Terminate,0.5,21,0.0
Instant Terminate,0.5,7,0.0
Instant Terminate,0.5,44,5.0
Instant Terminate,0.5,67,0.0
Instant Terminate,0.5,225,40.0
Instant Terminate,0.5,59,11.0
Instant Terminate,0.5,500,66.0
Instant Terminate,0.5,500,41.0
Instant Terminate,0.5,493,61.0
Instant Terminate,0.5,30,2.0
Instant Terminate,0.5,500,44.0
Instant Terminate,0.5,68,2.0
Instant Terminate,0.5,184,28.0
Instant Terminate,0.5,188,13.0
Instant Terminate,0.5,365,44.0
Instant Terminate,0.5,310,28.0
Instant Terminate,0.5,77,1.0
Instant Terminate,0.5,37,3.0
Instant Terminate,0.5,287,42.0
Instant Terminate,0.5,56,6.0
Instant Terminate,0.5,259,41.0
Instant Terminate,0.5,193,12.0
Instant Terminate,0.5,35,1.0
Instant Terminate,0.5,35,2.0
Instant Terminate,0.5,6,0.0
Instant Terminate,0.5,500,39.0
Instant Terminate,0.5,117,7.0
Instant Terminate,0.5,500,58.0
Instant Terminate,0.5,225,16.0
Instant Terminate,0.5,80,13.0
Instant Terminate,0.5,325,23.0
Instant Terminate,0.5,62,1.0
Instant Terminate,0.5,218,20.0
Instant Terminate,0.5,30,2.0
Instant Terminate,0.5,245,40.0
Instant Terminate,0.5,487,64.0
Instant Terminate,0.5,194,40.0
Instant Terminate,0.5,22,2.0
Instant Terminate,0.5,225,7.0
Instant Terminate,0.5,99,10.0
Instant Terminate,0.5,34,6.0
Instant Terminate,0.5,291,40.0
Instant Terminate,0.5,60,6.0
Instant Terminate,0.5,245,21.0
Instant Terminate,0.5,328,47.0
Instant Terminate,0.5,322,22.0
Instant Terminate,0.5,433,41.0
Instant Terminate,0.5,23,0.0
Instant Terminate,0.5,500,50.0
Instant Terminate,0.5,26,1.0
Instant Terminate,0.5,44,3.0
Instant Terminate,0.5,87,11.0
Instant Terminate,0.5,120,13.0
Instant Terminate,0.5,264,18.0
Instant Terminate,0.5,74,6.0
Instant Terminate,0.5,3,0.0
Instant Terminate,0.5,67,7.0
Instant Terminate,0.5,29,2.0
Instant Terminate,0.5,482,80.0
Instant Terminate,0.5,38,0.0
Instant Terminate,0.5,51,5.0
Instant Terminate,0.5,483,55.0
Instant Terminate,0.5,16,2.0
Instant Terminate,0.5,101,4.0
Instant Terminate,0.5,420,80.0
Instant Terminate,0.5,8,1.0
Instant Terminate,0.5,136,14.0
Instant Terminate,0.5,139,12.0
Instant Terminate,0.5,280,44.0
Instant Terminate,0.5,38,0.0
Instant Terminate,0.5,283,27.0
Instant Terminate,0.5,52,2.0
Instant Terminate,0.5,332,45.0
Instant Terminate,0.5,197,18.0
Instant Terminate,0.5,240,10.0
Instant Terminate,0.5,72,3.0
Instant Terminate,0.5,1,0.0
Instant Terminate,0.5,23,2.0
Instant Terminate,0.5,260,31.0
Instant Terminate,0.5,436,55.0
Instant Terminate,0.5,500,62.0
Instant Terminate,0.5,116,7.0
Instant Terminate,0.5,48,3.0
Instant Terminate,0.5,360,48.0
Instant Terminate,0.5,58,4.0
Instant Terminate,0.5,407,66.0
Instant Terminate,0.5,500,82.0
Instant Terminate,0.5,176,40.0
AStar,0.5,82,10.0
AStar,0.5,175,40.0
AStar,0.5,183,40.0
AStar,0.5,185,40.0
AStar,0.5,148,40.0
AStar,0.5,278,80.0
AStar,0.5,455,122.0
AStar,0.5,500,109.0
AStar,0.5,500,98.0
AStar,0.5,319,80.0
AStar,0.5,57,7.0
AStar,0.5,411,80.0
AStar,0.5,500,95.0
AStar,0.5,220,42.0
AStar,0.5,500,124.0
AStar,0.5,145,40.0
AStar,0.5,457,82.0
AStar,0.5,138,40.0
AStar,0.5,227,43.0
