         6480212 function calls (6193349 primitive calls) in 49.846 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      296    0.025    0.000    0.074    0.000 /usr/lib/python3.8/inspect.py:2124(_signature_from_function)
    18488    0.073    0.000    0.073    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/multiarray.py:148(concatenate)
      296    0.005    0.000    0.073    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2162(_clear_losses)
     2108    0.013    0.000    0.072    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:1579(_autopacking_conversion_function)
       10    0.000    0.000    0.072    0.007 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:969(stack_nested_arrays)
      148    0.005    0.000    0.070    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:269(getcallargs)
     1036    0.015    0.000    0.069    0.000 /usr/lib/python3.8/contextlib.py:415(enter_context)
     9665    0.051    0.000    0.068    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:436(__getattr__)
       92    0.001    0.000    0.067    0.001 /tf/mlrl/meta/meta_env.py:472(observe_terminate)
      686    0.035    0.000    0.067    0.000 {method 'sort' of 'list' objects}
      650    0.004    0.000    0.066    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
     1036    0.006    0.000    0.066    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2943(_flatten_layers)
    24000    0.065    0.000    0.065    0.000 {built-in method __new__ of type object at 0x908780}
     1041    0.009    0.000    0.065    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/fromnumeric.py:3356(mean)
       50    0.001    0.000    0.064    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow_probability/python/internal/prefer_static.py:68(wrap)
      148    0.004    0.000    0.064    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:869(<listcomp>)
     1844    0.013    0.000    0.063    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:281(_maybe_copy_dict)
    16760    0.063    0.000    0.063    0.000 /tmp/ipykernel_21839/1781336316.py:88(patch_node)
     1036    0.010    0.000    0.063    0.000 /usr/lib/python3.8/contextlib.py:482(__exit__)
      640    0.012    0.000    0.062    0.000 /tf/mlrl/meta/tree_tokenisation.py:41(get_terminate_token)
      650    0.004    0.000    0.062    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
     2072    0.029    0.000    0.062    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:6957(__exit__)
     5878    0.061    0.000    0.061    0.000 {method 'copy' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.061    0.006 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:980(<listcomp>)
       50    0.000    0.000    0.061    0.001 <__array_function__ internals>:177(stack)
    16608    0.060    0.000    0.060    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
     2072    0.037    0.000    0.060    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:6923(__enter__)
     6544    0.047    0.000    0.060    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:839(rank)
     2108    0.015    0.000    0.059    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:1569(_should_not_autopack)
       50    0.001    0.000    0.059    0.001 /usr/local/lib/python3.8/dist-packages/numpy/core/shape_base.py:357(stack)
      148    0.001    0.000    0.058    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:857(<listcomp>)
      296    0.002    0.000    0.056    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_math_ops.py:5986(mat_mul)
     1041    0.020    0.000    0.056    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_methods.py:162(_mean)
      158    0.003    0.000    0.056    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_array_ops.py:8561(reshape_eager_fallback)
    21208    0.055    0.000    0.055    0.000 /tf/mlrl/meta/search_tree.py:311(add_child_node)
      296    0.001    0.000    0.055    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/resource_variable_ops.py:558(_shape_tuple)
     1036    0.016    0.000    0.055    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2949(_flatten_modules)
      296    0.004    0.000    0.053    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/resource_variable_ops.py:553(_shape_as_list)
    17192    0.053    0.000    0.053    0.000 /tf/mlrl/meta/search_tree.py:329(get_parent_id)
      148    0.002    0.000    0.052    0.000 /usr/local/lib/python3.8/dist-packages/keras/layers/reshaping/flatten.py:67(call)
    17192    0.051    0.000    0.051    0.000 {method 'index' of 'list' objects}
    28644    0.051    0.000    0.051    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/eager/context.py:2131(context_safe)
      138    0.002    0.000    0.051    0.000 /tf/mlrl/meta/meta_env.py:321(get_best_object_action_index)
