         17726585 function calls (16906589 primitive calls) in 125.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    66700    0.215    0.000    0.346    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:271(_maybe_copy_ndarray)
   220061    0.340    0.000    0.340    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/eager/context.py:2131(context_safe)
   152020    0.338    0.000    0.338    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5750    0.020    0.000    0.332    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
    26530    0.200    0.000    0.330    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_decorator.py:229(__init__)
    63925    0.202    0.000    0.329    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
    22770    0.148    0.000    0.317    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:271(is_compatible_with)
     2050    0.039    0.000    0.314    0.000 /tf/mlrl/meta/tree_policy.py:129(get_action_probabilities)
    26530    0.139    0.000    0.314    0.000 /usr/lib/python3.8/contextlib.py:458(_push_cm_exit)
     7148    0.027    0.000    0.307    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:544(subtract)
    79590    0.218    0.000    0.306    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:3384(<genexpr>)
    14780    0.265    0.000    0.299    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:352(act)
     3790    0.013    0.000    0.297    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1269(get_shape)
    26530    0.094    0.000    0.293    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2611(_get_input_masks)
     7580    0.091    0.000    0.289    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2573(_set_mask_metadata)
     7580    0.101    0.000    0.288    0.000 /usr/lib/python3.8/inspect.py:2772(__init__)
