index,Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,n_envs,n_episodes,max_steps,no_video,video_fps,video_steps,Normalized Return,Environment
94,,$\hat{Q}^*$,0.25,47.0,4.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10843373493975904,BigFish
93,,$\hat{Q}^*$,0.25,3.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
103,,$\hat{Q}^*$,0.25,90.75,7.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.1686746987951807,BigFish
115,,$\hat{Q}^*$,0.25,4.25,0.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.018072289156626505,BigFish
66,,$\hat{Q}^*$,0.25,86.5,11.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2710843373493976,BigFish
64,,$\hat{Q}^*$,0.25,42.75,7.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.1746987951807229,BigFish
37,,$\hat{Q}^*$,0.25,13.0,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04819277108433735,BigFish
36,,$\hat{Q}^*$,0.25,33.75,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
35,,$\hat{Q}^*$,0.25,55.5,6.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.15060240963855423,BigFish
34,,$\hat{Q}^*$,0.25,55.0,4.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0963855421686747,BigFish
33,,$\hat{Q}^*$,0.25,48.0,8.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.20481927710843373,BigFish
32,,$\hat{Q}^*$,0.25,47.0,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
31,,$\hat{Q}^*$,0.25,27.0,3.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0783132530120482,BigFish
30,,$\hat{Q}^*$,0.25,18.75,3.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.07228915662650602,BigFish
29,,$\hat{Q}^*$,0.25,4.75,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
28,,$\hat{Q}^*$,0.25,24.75,3.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.07228915662650602,BigFish
27,,$\hat{Q}^*$,0.25,23.75,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04216867469879518,BigFish
26,,$\hat{Q}^*$,0.25,3.25,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
25,,$\hat{Q}^*$,0.25,12.5,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
24,,$\hat{Q}^*$,0.25,17.5,3.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0783132530120482,BigFish
23,,$\hat{Q}^*$,0.25,16.0,2.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.060240963855421686,BigFish
22,,$\hat{Q}^*$,0.25,14.0,2.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.06626506024096386,BigFish
21,,$\hat{Q}^*$,0.25,3.25,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
20,,$\hat{Q}^*$,0.25,9.0,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
19,,$\hat{Q}^*$,0.25,8.25,1.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.030120481927710843,BigFish
18,,$\hat{Q}^*$,0.25,6.0,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
17,,$\hat{Q}^*$,0.25,2.5,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
38,,$\hat{Q}^*$,0.25,62.0,6.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.15060240963855423,BigFish
39,,$\hat{Q}^*$,0.25,44.25,4.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.1144578313253012,BigFish
40,,$\hat{Q}^*$,0.25,35.0,5.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.12650602409638553,BigFish
41,,$\hat{Q}^*$,0.25,69.0,12.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2891566265060241,BigFish
63,,$\hat{Q}^*$,0.25,16.0,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04216867469879518,BigFish
